Date,Close/Last,Volume,Open,High,Low
07/06/2022,$114.33,66958880,$113.21,$115.48,$112.01
07/05/2022,$113.5,76684410,$107.6,$114.08,$106.3242
07/01/2022,$109.56,73021170,$106.29,$109.75,$105.8469
06/30/2022,$106.21,97679400,$108.11,$108.18,$102.52
06/29/2022,$108.92,66375340,$107.38,$110.99,$106.91
06/28/2022,$107.4,75172030,$113.5,$114.85,$107.04
06/27/2022,$113.22,62133240,$117.09,$117.98,$112.7
06/24/2022,$116.46,69867620,$112.38,$116.71,$111.43
06/23/2022,$112.44,64345300,$110.39,$113,$107.93
06/22/2022,$108.95,60040130,$107.43,$112.13,$107.02
06/21/2022,$108.68,70901250,$108.2,$111.6299,$103.56
06/17/2022,$106.22,99772150,$102.8,$106.98,$102.51
06/16/2022,$103.66,82186300,$104.47,$104.58,$102.01
06/15/2022,$107.67,85011060,$103.86,$109.06,$103.53
06/14/2022,$102.31,69728760,$104.19,$104.88,$101.43
06/13/2022,$103.67,99277740,$104.19,$106.54,$101.86
06/10/2022,$109.65,87412250,$113.415,$114.5,$109.05
06/09/2022,$116.15,67029840,$119.99,$121.3,$116.1
06/08/2022,$121.18,64926590,$122.61,$123.75,$120.75
06/07/2022,$123,85156710,$122.005,$124.1,$120.63
06/06/2022,$124.79,135269000,$125.245,$128.99,$123.81
06/03/2022,$122.35,97603320,$124.2,$124.4,$121.0465
06/02/2022,$125.511,100560680,$121.684,$125.61,$120.045
06/01/2022,$121.684,127528980,$122.256,$125.179,$120.6223
05/31/2022,$120.2095,144634160,$116.28,$121.9945,$115.675
05/27/2022,$115.1465,93660160,$113.55,$115.187,$112.628
05/26/2022,$111.0775,93002600,$107.97,$112.6655,$107.4535
05/25/2022,$106.775,93120100,$103.6555,$108.175,$103.65
05/24/2022,$104.1,102934680,$104.025,$105.4,$101.26
05/23/2022,$107.557,107797360,$108.461,$108.8188,$103.95
05/20/2022,$107.591,99500640,$109.5685,$109.898,$105.0093
05/19/2022,$107.319,88142540,$106.2805,$110.034,$106.1929
05/18/2022,$107.1125,108379180,$111.4395,$112.853,$106.2488
05/17/2022,$115.3685,76447740,$113.275,$115.8,$111.2765
05/16/2022,$110.8105,74565740,$113.1,$113.9925,$110.3541
05/13/2022,$113.055,93684560,$109.069,$113.184,$107.8
05/12/2022,$106.9305,132025140,$102.75,$110.7808,$102.4055
05/11/2022,$105.372,109703640,$108.1035,$110.156,$104.4285
05/10/2022,$108.859,105433820,$111.25,$112.6425,$107.171
05/09/2022,$108.789,128124380,$111.3125,$114,$107.957
05/06/2022,$114.7725,124259900,$114.85,$119.0505,$113.0813
05/05/2022,$116.407,144391220,$123,$123.499,$115.0725
05/04/2022,$125.9285,110745360,$123.6,$126,$119.183
05/03/2022,$124.2535,79133360,$124.0535,$126.2205,$122.825
05/02/2022,$124.5,148788980,$122.401,$124.6683,$118.375
04/29/2022,$124.2815,272661800,$129.849,$130.761,$121.625
04/28/2022,$144.5965,117316940,$142.178,$145.9375,$140.3
04/27/2022,$138.167,71336300,$140.1915,$141.9485,$135.7835
04/26/2022,$139.391,77529160,$144.8,$144.8558,$138.9295
04/25/2022,$146.074,61874980,$144.023,$146.2215,$142.3065
04/22/2022,$144.35,73078580,$148.25,$149.615,$143.6975
04/21/2022,$148.296,63969320,$154.714,$156.738,$147.5895
04/20/2022,$153.998,59630020,$157.6025,$157.6025,$153.6035
04/19/2022,$158.1155,54926420,$152.0295,$158.649,$151.5505
04/18/2022,$152.785,46513520,$151.5235,$154.0395,$150.2505
04/14/2022,$151.7065,51598140,$155.39,$155.897,$151.4718
04/13/2022,$155.541,53390880,$150.0185,$156.025,$149.6
04/12/2022,$150.7875,55177440,$153.6925,$155.099,$150.383
